VendorId,PUTime,DOTime,PassengerCount,TripDistance,RateCode,PULocationID,DOLocationID,PaymentType,FareAmount,TripTime
1,1/1/2017 12:33:17 PM,1/1/2017 12:35:02 PM,1,0,1,186,186,3,3,105
2,1/1/2017 12:33:17 PM,1/1/2017 12:52:02 PM,1,4.25,1,43,114,2,16,1125
2,1/1/2017 12:33:18 PM,1/1/2017 12:46:52 PM,3,3.63,1,48,144,1,13.5,814
2,1/1/2017 12:33:18 PM,1/1/2017 12:35:22 PM,1,0.7,1,262,262,2,4,124
2,1/1/2017 12:33:18 PM,1/1/2017 12:44:50 PM,1,1.7,1,237,142,1,9.5,692
2,1/1/2017 12:33:18 PM,1/1/2017 12:41:49 PM,1,1.95,1,90,50,2,8.5,511
1,1/1/2017 12:33:19 PM,1/1/2017 12:44:03 PM,1,3,1,48,107,2,11,644
1,1/1/2017 12:33:19 PM,1/1/2017 12:52:22 PM,1,3.9,1,236,68,2,16,1143
1,1/1/2017 12:33:19 PM,1/1/2017 12:46:27 PM,1,3,1,75,142,2,12,788
2,1/1/2017 12:33:19 PM,1/1/2017 12:47:09 PM,1,2.77,1,263,143,1,12,830
2,1/1/2017 12:33:20 PM,1/1/2017 12:39:48 PM,1,0.94,1,164,48,1,6,388
2,1/1/2017 12:33:20 PM,1/1/2017 1:06:49 PM,1,18.08,2,132,230,1,52,2009
2,1/1/2017 12:33:20 PM,1/1/2017 12:49:02 PM,3,5.95,1,41,162,2,18.5,942
2,1/1/2017 12:33:20 PM,1/1/2017 12:43:54 PM,2,1.89,1,249,170,1,9.5,634
1,1/1/2017 12:33:21 PM,1/1/2017 12:40:43 PM,1,2.1,1,229,107,1,9,442
2,1/1/2017 12:33:21 PM,1/1/2017 12:43:07 PM,5,1.46,1,233,186,1,8,586
2,1/1/2017 12:33:21 PM,1/1/2017 12:34:47 PM,2,0.3,1,230,48,1,3,86
2,1/1/2017 12:33:21 PM,1/1/2017 12:38:32 PM,1,1.22,1,48,143,2,6,311
2,1/1/2017 12:33:21 PM,1/1/2017 12:37:09 PM,6,0.89,1,125,231,1,5,228
2,1/1/2017 12:33:23 PM,1/1/2017 12:42:49 PM,1,2.06,1,142,140,1,9,566
2,1/1/2017 12:33:23 PM,1/1/2017 12:36:21 PM,1,0.65,1,142,142,2,4.5,178
2,1/1/2017 12:33:24 PM,1/1/2017 12:45:46 PM,2,4.76,1,107,88,2,15.5,742
2,1/1/2017 12:33:24 PM,1/1/2017 12:39:52 PM,2,1.3,1,186,48,2,6.5,388
2,1/1/2017 12:33:24 PM,1/1/2017 12:45:58 PM,2,2.2,1,90,48,1,10.5,754
1,1/1/2017 12:33:25 PM,1/1/2017 12:46:58 PM,4,4.2,1,74,243,1,15,813
